,spot,cell,value,spot_type,cell_type,x,y,Cell_xcoord,Cell_ycoord
70,128,40843132531471723182691878094140452031,0.00023820867079561695,,L5_ET,4592.223260449493,-3235.5579138444336,4637.080311046974,-3229.6114300399045
521,128,15456557923433745569624725409515752662,0.00023820867079561695,,L6_CT,4592.223260449493,-3235.5579138444336,4573.993501901804,-3214.8711668753463
4167,128,107347919257492114702939360010276165731,0.00012809334184293124,,L5_6_NP,4592.223260449493,-3235.5579138444336,4573.190789986979,-3229.1068351951462
545,129,113177446500339444021018053322865475313,0.00023820867079561695,,L5_IT,4682.722225259982,-3235.5579138444336,4692.498520163587,-3279.7386756746723
2885,129,73784403356225495553909001392487504057,0.00023820867079561695,,Peri,4682.722225259982,-3235.5579138444336,4679.950050655835,-3207.4944839909667
2298,129,146963940521369692319856574974245769981,0.00023820867079561695,,VLMC,4682.722225259982,-3235.5579138444336,4678.468015914487,-3193.8266968141997
806,129,51931704285670065392534724845630933105,0.00023820867079561695,,Endo,4682.722225259982,-3235.5579138444336,4667.41024389397,-3220.845930257483
988,129,328742395005917596052127732797962532548,0.00023820867079561695,,L6_IT,4682.722225259982,-3235.5579138444336,4695.284295672034,-3275.8837824848442
1732,13,268383401237536267189918483481177769435,0.00023820867079561695,,L5_6_NP,3958.730506776065,-3778.551702707372,3953.7961174273287,-3819.660862826203
72,13,295109330490819905773982341169423036663,0.00023820867079561695,,Endo,3958.730506776065,-3778.551702707372,3929.840847312221,-3770.491163784039
340,13,323965300532920958192652192952930384449,0.00023820867079561695,,Endo,3958.730506776065,-3778.551702707372,3963.4166314292343,-3744.9145203298663
1011,13,208231499720966006456184765922875498471,0.00023820867079561695,,Endo,3958.730506776065,-3778.551702707372,4003.871967593573,-3775.4269350033805
1276,13,309824130800616480100365378778036354860,0.00023820867079561695,,Astro,3958.730506776065,-3778.551702707372,3942.7269701179735,-3782.2650315933743
1386,130,237231108706223987504257948641665907165,0.00023820867079561695,,L6_CT,4773.221190070472,-3235.5579138444336,4809.553639237617,-3252.638063234079
1764,130,163699633684769966345433713886663286724,0.00023820867079561695,,L6_CT,4773.221190070472,-3235.5579138444336,4796.779014722576,-3246.386753981074
2316,130,198569902835251231452333841695311700531,0.00023820867079561695,,Astro,4773.221190070472,-3235.5579138444336,4735.464613579698,-3226.295072770874
2630,130,282107404920588318390467493186979934044,0.00023820867079561695,,Astro,4773.221190070472,-3235.5579138444336,4737.276352388627,-3208.0718391525406
